cultivar;entrada;bloue;tratamiento;parcela;cod_parcela;num_planta;DDS;tallo_flora_curvatura;tallo_floral_bulbillo;follaje_porte;num_hojas;forma_longitudinal;posicion_dientes_extrbulb;forma_base;distribución_dientes;dientes_exteriores;peso_bulbo_gr;longitud_bulbo_mm;ancho_bulbo_mm;num_dientes
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;4;172;9;9;2;10;2;2;2;1;1;49.00;41.49;56.48;9
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;5;172;9;9;2;12;2;2;2;1;1;38.50;43.02;46.65;6
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;6;172;9;9;2;8;2;2;2;1;9;64.50;47.78;55.59;16
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;7;172;9;9;2;10;2;2;2;1;1;34.00;43.92;49.32;3
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;8;172;9;9;2;7;2;2;2;1;1;34.50;39.75;50.08;6
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;9;172;9;9;2;9;2;2;2;1;1;45.00;44.42;51.23;6
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;10;172;9;9;2;7;2;2;2;1;1;45.50;48.97;53.04;9
AJO BLANCO INIA;BLANC24-01;4;T2;402;B4-402;1;172;9;9;1;11;2;3;3;2;9;68.00;52.99;63.11;10
AJO BLANCO INIA;BLANC24-01;4;T2;402;B4-402;2;172;9;9;1;12;2;3;3;1;9;37.00;42.43;50.25;4
AJO BLANCO INIA;BLANC24-01;4;T2;402;B4-402;3;172;9;9;1;12;2;3;3;2;9;43.00;53.95;38.58;8
AJO BLANCO INIA;BLANC24-01;4;T2;402;B4-402;4;172;9;9;1;13;2;3;3;2;9;67.00;48.06;69.99;9
